feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7
0.22329107915353885,0.5231633414006761,0.3676935560225447,0.045601950132806324,0.36072883534777267,0.22308094169128878,0.6887261618213565
0.1637314250008992,0.07032486680550032,0.14033339385675775,0.5636813802348253,0.07799233938998706,0.7226405111248398,0.15845217352316643
0.2502813067440234,0.2934872561021975,0.23713499800711696,0.46426408804015173,0.21506214371433952,0.4468262620796576,0.12087875153895689
0.917687007744725,0.5664463287191955,0.5874280745155955,0.3145664246472115,0.04321572973662613,0.7524449169599731,0.543269043871318
0.7671904257147006,0.7904487662157869,0.6841945927995678,0.6597158344078475,0.05329933834424705,0.6850244527227007,0.44335096201326485
0.4679961473799611,0.6610593347649595,0.3567236531453092,0.2633294844455638,0.011478933760174836,0.7712944466247652,0.8161423262888494
0.13964160374829582,0.5780067455748411,0.15399070988605312,0.2322154874690665,0.19864375358510467,0.27149077328868065,0.976852764010693
0.21542897828136154,0.3564074170620962,0.2215322745411308,0.6167902695950142,0.23040538778108444,0.7423517360658496,0.5842502083948865
0.420103554589757,0.7092528321948621,0.4029196285952481,0.8100391176572782,0.4306551796616863,0.9577285998114508,0.04775810110489587
0.7327818008916883,0.6756664492813946,0.4302693581713515,0.5669874518723802,0.722945249247141,0.6826033501652629,0.7953126800992896
0.11284552220179378,0.19916263217137087,0.15860745350034094,0.39386732248283196,0.33918540311781975,0.15344568607162112,0.10057401461121851
0.4072471068550777,0.5829154644665038,0.3684836007848591,0.8703608417756887,0.9665261604026779,0.4555648553522168,0.4004229990716831
0.2989396309634117,0.8283600667431184,0.4347470241803108,0.766136675251295,0.06831478431392501,0.6060265199758132,0.9392161324283785
0.10214265774506748,0.9775395164399522,0.4644127453460358,0.6541871683390603,0.12278570628019525,0.9613521934135819,0.6511814271716158
0.9366778098943237,0.908827305274409,0.6623061596709625,0.9332609593874011,0.7062172484423577,0.26713663074285254,0.1797664014159619
0.6555533548588476,0.8220278162669925,0.548964529979667,0.626175721553128,0.16277253754939225,0.2816461931342825,0.5882090729486195
